ProjectID,Name,Description,LeadResearcherID,Status
'1','Exoplanet Survey','Survey and catalog exoplanets','1','Active'
'2','Mars Atmosphere Study','Analyze the Martian atmosphere and its changes','6','Completed'
'3','Galactic Mapping','Create a detailed map of the Milky Way galaxy','3','Active'
'4','Asteroid Deflection Research','Research methods to deflect potentially hazardous asteroids','4','Active'
'5','Black Hole Imaging','Capture high-resolution images of black holes','1','Active'
'6','Cosmic Microwave Background Study','Study the cosmic microwave background radiation','6','Completed'
'7','Dark Matter Survey','Search for and analyze dark matter in the universe','7','Active'
'8','Supernova Remnants','Study the remnants of supernova explosions','8','Completed'
'9','Exoplanet Atmosphere Analysis','Analyze the atmospheres of known exoplanets','1','Active'
'10','Lunar Surface Exploration','Explore and map the lunar surface','9','Completed'
'11','Solar Flares Study','Study the origins and effects of solar flares','10','Active'
'12','Comet Composition Analysis','Analyze the composition of various comets','11','Completed'
'13','Stellar Evolution','Study the life cycle of different types of stars','12','Active'
'14','Pulsar Timing Array','Use pulsar timings to detect gravitational waves','13','Active'
'15','Nebulae Observation','Observe and catalog different types of nebulae','14','Completed'
'16','Mars Search for Life','Anaylze signs of past potential life.','6','Active'
'17','Galaxy Searching','Survey of galaxies','4','Active'
'18','Dark Energy','Analyze Dark Energy','3','Completed'
'19','Planet X','Finding the elusive potential planet x','13','Active'
'20','Mars Photography/Mapping','Mapping','7','Active'
'21','Mars Search for Water','Searching for signs of water','9','Completed'
'22','Mars Soil Analysis','Chemical Anyalsis and Soil composition','12','Active'
'23','Asteroid Study','Survey asteroids for mining in the asteroid belt','6','Active'
'24','Titan Methane ocean study','Analyze titan and its methan ocean','8','Completed'
'25','Phobos Ice','Locate ice deposits on the moon Phobos around Mars','8','Active'
'26','Mercury Lander','Development of a lander that can withstand the temps of Mercury','14','Active'
'27','Venus flyby','Capture high-resolution images of venus','6','Active'
'28','Alien Life','Study of what conditions alien life could survive','8','Completed'
'29','Oldest Galaxy','Search for the oldest galaxy and its signatures','11','Active'
'30','Asteroid Impact Percentage','Study the chance of an impact, by looking at nearby asteroids','14','Completed'
'31','Expanding Distance Between The Moon and Earth','Analyze the moon as it drifts further away','10','Active'
